标题,导演,主演,类型,地区,语言,上映日期,播放链接,封面图片,剧情简介,评分
与你同形,泰勒·罗素,"萨拉·费希尔,杰克·阿林,琳恩·柯林斯,罗宾·莱弗里,巴特·约翰逊,斯科特·里维斯,奥斯汀·罗伯特·罗素,布兰登·赫希,玛丽·玛格丽特·霍尔,林赛·罗斯·达文波特,罗伯特·韦,伊冯娜·兰德里,莎伦·帕拉,杰尼克·本尼特,罗伯特·G·哈里斯,杰西·伦斯福德,德雷克·Z·诺顿,德雷克·M·布玛",爱情,美国,英语,2024,https://ukzy.ukubf3.com/share/5mHL3sDZuuFGiwKX,https://img.ukuapi.com/upload/vod/20240904-1/92b7bbf21808e75429fd5af1f642da42.jpg,在痛失挚友后，一位年轻的建筑师踏上了寻找好友失散的双胞胎的旅程。,4.5
无主之地,伊莱·罗斯,"凯特·布兰切特,凯文·哈特,杰克·布莱克,阿丽亚娜·格林布拉特,弗罗里安·穆特鲁,杰米·李·柯蒂斯,埃德加·拉米雷兹,吉娜·格申,海莉·贝内特,詹妮娜·加万卡,奥利维尔·里希特斯,鲍比·李,夏恩·杰克逊,本·戴维斯,查尔斯·巴巴洛拉,史蒂文·博耶,瑞安·雷德蒙德,保拉·安德烈埃·普拉西多,哈利·福特,贾斯汀·皮尔斯","喜剧,动作,科幻,惊悚,冒险",美国,英语,2024,https://ukzy.ukubf3.com/share/f1AbbHUKxUQTA9ag,https://img.ukuapi.com/upload/vod/20240816-1/34fac453b4258803eae7ec385eb7406a.jpg,莉莉丝（凯特·布兰切特CateBlanchett饰）是一个有着神秘过去的赏金猎人，她被迫回到家乡——银河系中最混乱的潘多拉星球，任务是找到阿特拉斯（埃德加·拉米雷兹ÉdgarRamírez饰）失踪的女儿。莉莉丝与一群不合群的人组成了一个意想不到的联盟，他们是：雇佣兵罗兰（凯文·哈特KevinHart饰）、爆破专家小蒂娜（阿丽亚娜·格林布拉特ArianaGreenblatt饰）、小蒂娜的保护人克里格（弗罗里安·穆特鲁FlorianMunteanu饰）、古怪的科学家坦尼斯博士（杰米·李·柯蒂斯JamieLeeCurtis饰）和聪明的机器人克拉普特（杰克·布莱克JackBlack配音）。这些不可思议的英雄们必须一起与外星生命和危险的强盗战斗，以揭开潘多拉最具爆炸性的秘密。,4.6
蓝色禁区：凪,石川俊介,"岛崎信长,内田雄马,兴津和幸,浦和希,海渡翼,小野友树,齐藤壮马,诹访部顺一,内山昂辉,神谷浩史,木村昴","动画,运动",日本,日语,2024,https://ukzy.ukubf3.com/share/Cim4Vje3enQXYkAs,https://img.ukuapi.com/upload/vod/20240901-1/53e0f3b4277ae1994fd3ed6dc0ba9ba7.jpg,“天才”在被发现后开始塑造其轮廓。此时，天才前锋凪诚士郎的自我正征服世界！！把“好麻烦”挂在嘴边的高二学生凪诚士郎，整天过着百无聊赖的日子，直到梦想成为世界杯冠军的同校同学御影玲王发现了他的天赋。在玲王的邀请下开始踢足球的凪，发挥出了超乎想象的足球天赋。某日，他收到了“蓝色禁区”计划的邀请函，等待他的是与洁世一、蜂乐回、糸师凛这些从全国各地精挑细选出来的前锋们的集结。强强激战中，最终，天才凪诚士郎迎来“觉醒”时刻！,7.5
棒球伙伴,杰瑞米·加德奈,"杰瑞米·加德奈,Adam Cronhelm","剧情,恐怖",美国,英语,2012,https://ukzy.ukubf3.com/share/9I3OKm9meKPkXDTa,https://img.ukuapi.com/upload/vod/20240902-1/f9c3925cf1702d70db87f0ceb3fc06f7.jpg,Thepersonalitiesoftwoformerbaseballplayersclashastheytraversetheruralbackroadsofapost-plagueNewEnglandteemingwiththeundead.,2.9
灰,Erdem Tepegoz,"冯达·埃尔伊义特,阿尔佩伦·杜伊马兹,穆罕穆德·根塞尔,格克切·埃尤博格鲁,努尔·叙雷尔,尔迪雷·沙希纳,Canan Atalay,色达·土库曼,Selin Vardarli,Abdullah Burak Kaya,Adnan Basar,Murat Bavli,Ali Riza Bora,Büsra Conker,Rukan Demir,Hakan Erdil,Gürkan Erduvan,Elif Gezgin,Ece Kazimoglu,Irmak Kazimoglu","剧情,爱情",土耳其,土耳其语,2024,https://ukzy.ukubf3.com/share/3xMUpmPguI1fopbp,https://img.ukuapi.com/upload/vod/20240902-1/b2ef3899a5845e8b6cb36584a3bd2a40.jpg,"AcarpenterMetinAli(AlperenDuymaz)andGokce,(FundaEryigit)thewifeoftheownerofthepublishinghouse.Gokcewillimmerseherselfintheworldcreatedbythebookshehasreceived,andherlifewillbemovedtoanotherdimensionwiththecarpentersheischasing.",3.1
极海迷窟,梁建强,肖博 于心妍 淳于珊珊 张鑫 于波 莫美林,"动作,冒险,奇幻",大陆,国语,2024,https://ukzy.ukubf3.com/share/OLVcM8EPWlFFp9AV,https://img.ukuapi.com/upload/vod/20240901-1/dacda26c6b2d107d90d60b04e0e29d30.jpg,某海岛上发现南越遗址，相传可能是南越丞相吕嘉的藏宝之处。台风将至，耳力超凡的野外生存专家吴痕受南越史学家顾临的邀请帮助考古队抢修文物，却意外发现一个与吕嘉年代相去甚远的洞窟，并由此踏上冒险旅程，一桩千年历史秘闻将浮出水面。,0.0
我没有失踪,亮子,"马少骅,陈创,徐梵溪,艾东",剧情,中国大陆,汉语普通话,2025,https://ukzy.ukubf3.com/share/ymOwrGBqSFZonKTF,https://img.ukuapi.com/upload/vod/20240904-1/e916894c24345a49ea1578daba89a304.jpg,主角罗立松是一名恪守职责的老警察，在一场意外中痛失爱子，但对方下落不明，为证明儿子并未失踪，临近退休的罗立松四处奔走寻找儿子的下落，最终皇天不负有心人，重于找寻到了儿子的下落，不仅还其清白，更证明人民警察“忠诚可靠、服务人民、竭诚奉献、作风优良，不负使命”的精神。,2.0
印度制造,夏兰特·卡塔里亚,"安努舒卡·莎玛,瓦伦·达万,拉格胡维尔·亚达夫,纳米特·达斯,吉恩德拉·沙斯特里","剧情,喜剧",印度,印地语,2018,https://ukzy.ukubf3.com/share/seStQzkSiC7nzHga,https://img.ukuapi.com/upload/vod/20240902-1/a515b404b6110de9f0826972de63e242.jpg,帮助叔叔经营缝纫机店的青年茂吉（瓦伦·达瓦VarunDhawan饰）乐观开朗，似乎特别乐意取悦他人。在叔叔儿子的婚礼上，茂吉嬉皮笑脸，哗众取宠，这令他的妻子玛姆塔（安努舒卡·莎玛AnushkaSharma饰）倍感羞耻和伤心。回到家后，玛姆塔闷闷不乐，以泪洗面，她劝丈夫利用自己裁剪方面的技能自力更生，不要屈辱求存。茂吉不愿重走裁缝爷爷昏暗的老路，可是他似乎也无法再忍受叔叔他们的戏谑。终于在一次争吵后，茂吉愤而辞职。偏偏此时，母亲一病不起。在妻子的鼓励下，茂吉不再踌躇，他决定经营自己的裁缝摊，从一点一滴做起。一直忙于家务的夫妻二人，也借此机会贴近彼此……,6.6
巴克曼,András Szöke,维卡·克里克斯,,匈牙利,匈牙利语,2008,https://ukzy.ukubf3.com/share/J4XcFHkilfX4TAbl,https://img.ukuapi.com/upload/vod/20240901-1/ffdb17e63deaa6767c03f4a997d8742a.jpg,内详,1.7
长腿,奥兹·珀金斯,"麦卡·梦露,尼古拉斯·凯奇,布莱尔·安德伍德,艾丽西亚·维特,米歇尔·乔伊-李,达科塔·道尔比,劳伦·阿卡拉,琪兰·席普卡,贾森·戴,丽莎·钱德勒,莱拉·麦金托什,卡梅尔·阿密特,沙芬·卡里姆,丹尼尔·巴孔,瓦内萨·沃尔什,斯科特·尼科尔森","惊悚,恐怖",美国,英语,2024,https://ukzy.ukubf3.com/share/QrTPYLLPqKB2H0Pe,https://img.ukuapi.com/upload/vod/20240904-1/bef2292ce45f9f8d3ece3c9a737b3681.jpg,横跨30年的10宗灭门惨案，所有遇害家庭都有一个共通点：有一位14号生日的小女生。,5.5
